address,nearest_mrt,nearest_distance_to_mrt
170 ANG MO KIO AVE 4,mayflower,0.283
174 ANG MO KIO AVE 4,mayflower,0.421
216 ANG MO KIO AVE 1,mayflower,0.803
215 ANG MO KIO AVE 1,mayflower,0.801
218 ANG MO KIO AVE 1,mayflower,0.91
320 ANG MO KIO AVE 1,ang mo kio,0.5
330 ANG MO KIO AVE 1,ang mo kio,0.85
332 ANG MO KIO AVE 1,ang mo kio,0.957
333 ANG MO KIO AVE 1,ang mo kio,0.984
404 ANG MO KIO AVE 10,ang mo kio,1.083
417 ANG MO KIO AVE 10,ang mo kio,0.836
418 ANG MO KIO AVE 10,ang mo kio,0.746
419 ANG MO KIO AVE 10,ang mo kio,0.722
421 ANG MO KIO AVE 10,ang mo kio,0.632
440 ANG MO KIO AVE 10,ang mo kio,0.657
443 ANG MO KIO AVE 10,ang mo kio,0.777
445 ANG MO KIO AVE 10,ang mo kio,0.745
446 ANG MO KIO AVE 10,ang mo kio,0.688
447 ANG MO KIO AVE 10,ang mo kio,0.755
435 ANG MO KIO AVE 10,ang mo kio,0.574
433 ANG MO KIO AVE 10,ang mo kio,0.572
434 ANG MO KIO AVE 10,ang mo kio,0.489
432 ANG MO KIO AVE 10,ang mo kio,0.484
471 ANG MO KIO AVE 10,ang mo kio,1.071
475 ANG MO KIO AVE 10,ang mo kio,1.119
476 ANG MO KIO AVE 10,ang mo kio,1.249
473 ANG MO KIO AVE 10,ang mo kio,1.114
463 ANG MO KIO AVE 10,ang mo kio,0.899
462 ANG MO KIO AVE 10,ang mo kio,0.998
560 ANG MO KIO AVE 10,ang mo kio,1.075
558 ANG MO KIO AVE 10,ang mo kio,1.081
577 ANG MO KIO AVE 10,ang mo kio,0.73
561 ANG MO KIO AVE 10,ang mo kio,0.925
557 ANG MO KIO AVE 10,ang mo kio,0.928
541 ANG MO KIO AVE 10,ang mo kio,0.807
214 ANG MO KIO AVE 3,mayflower,0.68
235 ANG MO KIO AVE 3,mayflower,0.516
233 ANG MO KIO AVE 3,mayflower,0.436
302 ANG MO KIO AVE 3,ang mo kio,0.536
343 ANG MO KIO AVE 3,ang mo kio,0.179
346 ANG MO KIO AVE 3,ang mo kio,0.316
121 ANG MO KIO AVE 3,ang mo kio,0.672
120 ANG MO KIO AVE 3,ang mo kio,0.552
129 ANG MO KIO AVE 3,mayflower,0.635
127 ANG MO KIO AVE 3,ang mo kio,0.678
422 ANG MO KIO AVE 3,ang mo kio,0.335
571 ANG MO KIO AVE 3,ang mo kio,0.592
570 ANG MO KIO AVE 3,ang mo kio,0.719
585 ANG MO KIO AVE 3,ang mo kio,0.321
77 BEDOK NTH RD,tanah merah,0.512
586 ANG MO KIO AVE 3,ang mo kio,0.435
565 ANG MO KIO AVE 3,ang mo kio,0.979
107 ANG MO KIO AVE 4,mayflower,0.091
117 ANG MO KIO AVE 4,mayflower,0.272
118 ANG MO KIO AVE 4,mayflower,0.237
109 ANG MO KIO AVE 4,mayflower,0.196
610 ANG MO KIO AVE 4,yio chu kang,0.695
607 ANG MO KIO AVE 4,lentor,0.656
644 ANG MO KIO AVE 4,yio chu kang,0.532
624 ANG MO KIO AVE 4,yio chu kang,0.55
156 ANG MO KIO AVE 4,mayflower,0.585
155 ANG MO KIO AVE 4,mayflower,0.626
631 ANG MO KIO AVE 4,yio chu kang,0.528
601 ANG MO KIO AVE 5,lentor,0.501
502 ANG MO KIO AVE 5,ang mo kio,0.645
503 ANG MO KIO AVE 5,ang mo kio,0.619
643 ANG MO KIO AVE 5,yio chu kang,0.671
649 ANG MO KIO AVE 5,yio chu kang,0.463
151 ANG MO KIO AVE 5,yio chu kang,0.701
180 ANG MO KIO AVE 5,mayflower,0.613
646 ANG MO KIO AVE 6,yio chu kang,0.294
639 ANG MO KIO AVE 6,yio chu kang,0.342
635 ANG MO KIO AVE 6,yio chu kang,0.306
633 ANG MO KIO AVE 6,yio chu kang,0.306
512 ANG MO KIO AVE 8,ang mo kio,0.302
507 ANG MO KIO AVE 8,ang mo kio,0.505
222 ANG MO KIO AVE 1,mayflower,0.68
102 ANG MO KIO AVE 3,mayflower,0.329
304 ANG MO KIO AVE 1,ang mo kio,0.649
226 ANG MO KIO AVE 1,mayflower,0.463
336 ANG MO KIO AVE 1,ang mo kio,0.752
337 ANG MO KIO AVE 1,ang mo kio,0.783
416 ANG MO KIO AVE 10,ang mo kio,0.86
436 ANG MO KIO AVE 10,ang mo kio,0.576
470 ANG MO KIO AVE 10,ang mo kio,1.025
472 ANG MO KIO AVE 10,ang mo kio,1.215
326 ANG MO KIO AVE 3,ang mo kio,0.368
329 ANG MO KIO AVE 3,ang mo kio,0.476
103 ANG MO KIO AVE 3,mayflower,0.308
324 ANG MO KIO AVE 3,ang mo kio,0.347
562 ANG MO KIO AVE 3,ang mo kio,1.052
112 ANG MO KIO AVE 4,mayflower,0.091
110 ANG MO KIO AVE 4,mayflower,0.146
177 ANG MO KIO AVE 4,mayflower,0.516
175 ANG MO KIO AVE 4,mayflower,0.478
537 ANG MO KIO AVE 5,ang mo kio,0.703
535 ANG MO KIO AVE 5,ang mo kio,0.646
648 ANG MO KIO AVE 5,yio chu kang,0.414
179 ANG MO KIO AVE 5,mayflower,0.606
182 ANG MO KIO AVE 5,mayflower,0.653
640 ANG MO KIO AVE 6,yio chu kang,0.243
638 ANG MO KIO AVE 6,yio chu kang,0.209
634 ANG MO KIO AVE 6,yio chu kang,0.187
511 ANG MO KIO AVE 8,ang mo kio,0.41
221 ANG MO KIO AVE 1,mayflower,0.652
402 ANG MO KIO AVE 10,ang mo kio,1.136
437 ANG MO KIO AVE 10,ang mo kio,0.51
539 ANG MO KIO AVE 10,ang mo kio,0.799
545 ANG MO KIO AVE 10,ang mo kio,0.831
501 ANG MO KIO AVE 5,ang mo kio,0.677
521 ANG MO KIO AVE 5,ang mo kio,0.461
620 ANG MO KIO AVE 9,lentor,0.543
259 ANG MO KIO AVE 2,bright hill,0.608
253 ANG MO KIO ST 21,mayflower,0.308
317 ANG MO KIO ST 31,ang mo kio,0.556
306 ANG MO KIO AVE 1,ang mo kio,0.631
104A ANG MO KIO ST 11,mayflower,0.252
620 BEDOK RESERVOIR RD,bedok north,0.054
618 BEDOK RESERVOIR RD,bedok north,0.218
74 BEDOK NTH RD,tanah merah,0.46
76 BEDOK NTH RD,tanah merah,0.492
501 BEDOK NTH ST 3,bedok reservoir,0.565
534 BEDOK NTH ST 3,bedok north,0.783
617 BEDOK RESERVOIR RD,bedok north,0.243
3 BEDOK STH AVE 1,bedok,0.423
2 BEDOK STH AVE 1,bedok,0.474
18 BEDOK STH RD,bedok,0.686
36 CHAI CHEE AVE,bedok,0.528
32 CHAI CHEE AVE,bedok,0.555
40 CHAI CHEE AVE,bedok,0.451
37 CHAI CHEE AVE,bedok,0.45
27 NEW UPP CHANGI RD,bedok,0.549
57 NEW UPP CHANGI RD,tanah merah,0.624
55 CHAI CHEE DR,bedok north,0.885
59 CHAI CHEE RD,kembangan,0.917
2 CHAI CHEE RD,bedok,0.861
423 BEDOK NTH AVE 1,bedok,0.519
522 BEDOK NTH AVE 1,bedok,0.815
548 BEDOK NTH AVE 1,bedok reservoir,0.84
418 BEDOK NTH AVE 2,bedok,0.51
515 BEDOK NTH AVE 2,bedok reservoir,0.585
402 BEDOK NTH AVE 3,bedok reservoir,0.692
401 BEDOK NTH AVE 3,bedok reservoir,0.644
102 BEDOK NTH AVE 4,bedok reservoir,0.654
105 BEDOK NTH AVE 4,bedok reservoir,0.574
92 BEDOK NTH AVE 4,tanah merah,0.811
108 BEDOK NTH RD,bedok reservoir,0.618
107 BEDOK NTH RD,bedok reservoir,0.657
110 BEDOK NTH RD,bedok reservoir,0.545
109 BEDOK NTH RD,bedok reservoir,0.589
116 BEDOK NTH RD,bedok reservoir,0.899
420 BEDOK NTH ST 1,bedok,0.436
